127.0.0.1, 2017-05-13 16:18:55, GET, /admin/static/_2.14.6/images/glyphicons-halflings.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2017-05-13 16:18:56, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.127000
127.0.0.1, 2017-05-13 16:18:56, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.203000
127.0.0.1, 2017-05-13 16:18:56, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.215000
127.0.0.1, 2017-05-13 16:18:56, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.245000
127.0.0.1, 2017-05-13 16:18:56, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.066000
127.0.0.1, 2017-05-13 16:18:56, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.355000
127.0.0.1, 2017-05-13 16:18:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-05-13 16:19:28, GET, /main_app, HTTP/1.1, 200, 4.463000
127.0.0.1, 2017-05-13 16:19:28, GET, /main_app/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-05-13 16:19:28, GET, /main_app/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-05-13 16:19:28, GET, /main_app/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:19:28, GET, /main_app/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:19:28, GET, /main_app/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-05-13 16:19:28, GET, /main_app/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:19:28, GET, /main_app/static/js/web2py.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-05-13 16:19:28, GET, /main_app/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:19:28, GET, /main_app/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:19:28, GET, /main_app/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:19:29, GET, /main_app/static/images/background.jpg, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:19:29, GET, /main_app/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:19:29, GET, /main_app/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:19:29, GET, /main_app/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:19:41, GET, /main_app/default/user/login, HTTP/1.1, 200, 0.931000
127.0.0.1, 2017-05-13 16:19:45, POST, /main_app/default/user/login, HTTP/1.1, 200, 0.849000
127.0.0.1, 2017-05-13 16:19:56, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.053000
127.0.0.1, 2017-05-13 16:19:59, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 2.251000
127.0.0.1, 2017-05-13 16:20:43, GET, /admin, HTTP/1.1, 303, 0.009000
127.0.0.1, 2017-05-13 16:20:44, GET, /admin/default/site, HTTP/1.1, 200, 0.255000
127.0.0.1, 2017-05-13 16:20:44, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-05-13 16:20:44, GET, /admin/static/_2.14.6/images/folder.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-05-13 16:20:44, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:20:45, POST, /admin/default/check_version, HTTP/1.1, 200, 0.843000
127.0.0.1, 2017-05-13 16:20:48, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-05-13 16:20:56, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.092000
127.0.0.1, 2017-05-13 16:20:58, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 2.174000
127.0.0.1, 2017-05-13 16:21:18, GET, /admin/default/site, HTTP/1.1, 200, 0.185000
127.0.0.1, 2017-05-13 16:21:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-05-13 16:21:33, GET, /main_app, HTTP/1.1, 200, 0.782000
127.0.0.1, 2017-05-13 16:21:41, GET, /main_app/default/user/register, HTTP/1.1, 200, 0.220000
127.0.0.1, 2017-05-13 16:22:26, POST, /main_app/default/user/register, HTTP/1.1, 303, 0.395000
127.0.0.1, 2017-05-13 16:22:26, GET, /main_app/default/index, HTTP/1.1, 200, 0.334000
127.0.0.1, 2017-05-13 16:22:37, GET, /main_app/default/user/profile, HTTP/1.1, 200, 0.295000
127.0.0.1, 2017-05-13 16:23:05, GET, /welcome/default/index, HTTP/1.1, 200, 0.766000
127.0.0.1, 2017-05-13 16:23:10, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.169000
127.0.0.1, 2017-05-13 16:23:20, POST, /welcome/default/user/login, HTTP/1.1, 303, 0.143000
127.0.0.1, 2017-05-13 16:23:20, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.180000
127.0.0.1, 2017-05-13 16:23:31, GET, /admin/default/site, HTTP/1.1, 200, 0.172000
127.0.0.1, 2017-05-13 16:23:32, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-05-13 16:34:32, GET, /main_app, HTTP/1.1, 200, 0.830000
